물품식별코드,물품품목명,물품분류코드
24343967,"노트북컴퓨터, Dell, (CN)Latitude 3520-5110H, Intel Core i5 1135G7(2.4GHz), 액세서리별도",43211503
24510198,"노트북컴퓨터, Lenovo, (CN)82JBS00300, Intel Celeron N5100(1.1GHz), 액세서리별도",43211503
24355228,"데스크톱컴퓨터, Dell, (CN)OptiPlex 5090, Intel Core i5 10505(3.1GHz)",43211507
24158946,"데스크톱컴퓨터, 서버앤컴퓨터, DECA-N3802, Intel Core i3 10100(3.6GHz)",43211507
24407366,"액정모니터, 엘지전자, 27MP500W, 68.6cm",43211902
23858386,"레이저프린터, HP, (JP)HP Color LaserJet Enterprise M856dn, A3/컬러56/흑백56ppm",43212105
24204348,"스캐너, Kodak alaris, (CN)S3100F, 600dpi",43211711
23908131,43222609 네트워크라우터,43222609
23809899,"하드디스크드라이브, Hitachi vantara, (US)R2H-H10RSS, 10TB",43201803
22060848,"네트워크시스템장비용랙, 600×2000×750mm",43223308
25114372,"책상, 우드림, WD-WIZDE100, 2700×2150×750mm, 1인용",56101703
24128496,"작업용의자, 오피스안건사, AC-051, 513×520×783mm",56112102
24917370,"책걸상, 애니체, AMD-WT100A, 617×790×850mm",56112108
25616834,"칠판보조장, 우드림, WR-BSC7040, 7000×300×3000mm",56121798
25460962,"인터랙티브화이트보드, 미래디스플레이, MDI86110, 279.4cm, IR센서/손/도구/LED",44111911
22451201,"Sony Alpha 7 IV, 렌즈포함",45121504
22981022,"대진코스탈, KS-1200, 1회 20매",44101503
23120099,"LG 퓨리케어 360, 100㎡",40101901
25461942,"통신소프트웨어, 세인트로그, SMART-CM V1.5, 통합방송솔루션, 1~4Core(Server)",43232902
